source_file,project_index,ministry,project_name,category,account_type,status,domain,budget_2024,budget_2025,request_2026,budget_2026,change_amount,change_rate,purpose,content
감사원_개인정보위원회_경찰청_고용노동부_ai.pdf,11,감사원,사이버범죄수사단서통합분석및추론시스템개발(R&D) (4431-726),R&D,일반회계,계속,안전/치안/재난,4431,726,23,4400,3674,506.06,,"사이버범죄수사단서통합분석및추론시스템개발(R&D) (4431-726)
□ 사업 코드 정보
구분 회계 소관 실국(기관) 계정 분야 부문
코드 020 023
일반회계 경찰청 미래치안정책국
명칭 공공질서및안전 경찰
구분 프로그램 단위사업 세부사업
코드 4400 4431 726
사이버범죄수사단서통합분석
명칭 과학치안활성화 정책연구개발(R&D)
및추론시스템개발(R&D)
□ 사업 성격
예비타당성 총사업비 총액계상 사업소관 변경정보
신규 계속 완료
실시여부 관리대상 예산사업 2025예산 시 소관
○
□ 사업 지원 형태 및 지원율
직접 출자 출연 보조 융자 국고보조율(%) 융자율 (%)
○
□ 사업 담당자"
감사원_개인정보위원회_경찰청_고용노동부_ai.pdf,12,감사원,사이버수사지원기술개발(R&D) (4431-710),R&D,일반회계,계속,안전/치안/재난,4431,710,23,4400,3690,519.72,,"사이버수사지원기술개발(R&D) (4431-710)
□ 사업 코드 정보
구분 회계 소관 실국(기관) 계정 분야 부문
코드 020 023
일반회계 경찰청 미래치안정책국
명칭 공공질서및안전 경찰
구분 프로그램 단위사업 세부사업
코드 4400 4431 710
사이버수사지원기술개발
명칭 과학치안활성화 정책연구개발(R&D)
(R&D)
□ 사업 성격
사업소관 변경정보
예비타당성 총사업비 총액계상
신규 계속 완료
실시여부 관리대상 예산사업
2025예산 시 소관
○
□ 사업 지원 형태 및 지원율
직접 출자 출연 보조 융자 국고보조율(%) 융자율 (%)
○
□ 사업 담당자"
감사원_개인정보위원회_경찰청_고용노동부_ai.pdf,13,감사원,차세대지능형순찰플랫폼개발(R&D) (4431-724),R&D,일반회계,계속,안전/치안/재난,4431,724,23,4400,3676,507.73,,"차세대지능형순찰플랫폼개발(R&D) (4431-724)
□ 사업 코드 정보
구분 회계 소관 실국(기관) 계정 분야 부문
코드 020 023
일반회계 경찰청 미래치안정책국
명칭 공공질서및안전 경찰
구분 프로그램 단위사업 세부사업
코드 4400 4431 724
차세대지능형순찰플랫폼개발
명칭 과학치안활성화 정책연구개발(R&D)
(R&D)
□ 사업 성격
예비타당성 총사업비 총액계상 사업소관 변경정보
신규 계속 완료
실시여부 관리대상 예산사업 2025예산 시 소관
○
□ 사업 지원 형태 및 지원율
직접 출자 출연 보조 융자 국고보조율(%) 융자율 (%)
○
□ 사업 담당자"
감사원_개인정보위원회_경찰청_고용노동부_ai.pdf,14,감사원,치안데이터활용기술개발(R&D) (4431-730),R&D,일반회계,계속,안전/치안/재난,4431,730,23,4400,3670,502.74,,"치안데이터활용기술개발(R&D) (4431-730)
□ 사업 코드 정보
구분 회계 소관 실국(기관) 계정 분야 부문
코드 020 023
일반회계 경찰청 미래치안정책국
명칭 공공질서및안전 경찰
구분 프로그램 단위사업 세부사업
코드 4400 4431 730
치안데이터활용기술개발
명칭 과학치안활성화 정책연구개발(R&D)
(R&D)
□ 사업 성격
예비타당성 총사업비 총액계상 사업소관 변경정보
신규 계속 완료
실시여부 관리대상 예산사업 2025예산 시 소관
○
□ 사업 지원 형태 및 지원율
직접 출자 출연 보조 융자 국고보조율(%) 융자율 (%)
○
□ 사업 담당자"
감사원_개인정보위원회_경찰청_고용노동부_ai.pdf,15,감사원,형사･교통･여성청소년범죄 수사역량강화 (1231-313),일반,일반회계,계속,안전/치안/재난,1231,313,23,1200,887,283.39,,"형사･교통･여성청소년범죄 수사역량강화 (1231-313)
□ 사업 코드 정보
구분 회계 소관 실국(기관) 계정 분야 부문
코드 020 023
일반회계 경찰청 형사국
명칭 공공질서및안전 경찰
구분 프로그램 단위사업 세부사업
코드 1200 1231 313
형사･교통･여성청소년범죄
명칭 범죄수사활동 수사지원 및 수사역량강화
수사역량강화
□ 사업 성격
예비타당성 총사업비 총액계상 사업소관 변경정보
신규 계속 완료
실시여부 관리대상 예산사업 2025예산 시 소관
○
□ 사업 지원 형태 및 지원율
직접 출자 출연 보조 융자 국고보조율(%) 융자율 (%)
○
□ 사업 담당자"
감사원_개인정보위원회_경찰청_고용노동부_ai.pdf,16,감사원,(95) 고용노동행정(정보화)(7034-500),정보화,일반회계,계속,공공행정/전자정부,95,7034,80,86,-6948,-98.78,,"(95) 고용노동행정(정보화)(7034-500)
□ 사업 코드 정보
구분 회계 소관 실국(기관) 계정 분야 부문
코드 기획조정실 080 086
일반회계 고용노동부 0
명칭 정책기획관 사회복지 노동
구분 프로그램 단위사업 세부사업
코드 7000 7034 500
명칭 고용노동행정지원 고용노동행정정보화 고용노동행정(정보화)
□ 사업 성격
예비타당성 총사업비 총액계상 사업소관 변경정보
신규 계속 완료
실시여부 관리대상 예산사업 2025예산 시 소관
○
□ 사업 지원 형태 및 지원율
직접 출자 출연 보조 융자 국고보조율(%) 융자율 (%)
○
□ 사업 소관부처 및 시행주체"
감사원_개인정보위원회_경찰청_고용노동부_ai.pdf,17,감사원,(12) 내일배움카드(고보)(1151-352),일반,기금,계속,기타,12,1151,80,1100,-51,-4.43,,"(12) 내일배움카드(고보)(1151-352)
□ 사업 코드 정보
구분 기금 소관 실국(기관) 계정 분야 부문
코드 080 08D
고용보험기금 고용노동부 직업능력정책국 -
명칭 사회복지 고용
구분 프로그램 단위사업 세부사업
코드 1100 1151 352
명칭 직업능력개발 실업자및근로자능력개발지원 내일배움카드(고보)
□ 사업 성격
예비타당성 총사업비 총액계상 사업소관 변경정보
신규 계속 완료
실시여부 관리대상 예산사업 2025예산 시 소관
○
□ 사업 지원 형태 및 지원율
직접 출자 출연 보조 융자 국고보조율(%) 융자율 (%)
O
□ 사업 소관부처 및 시행주체"
감사원_개인정보위원회_경찰청_고용노동부_ai.pdf,18,감사원,실·국·과(팀),일반,기타,계속,공공행정/전자정부,2024,2025,571022,603198,601173,29687.56,"- (일반직종 훈련) 급격한 기술발전에 적응하고 노동시장 변화에 대응하는 사회안전망 차원에서 생애에 걸친 역량개발 향상 등을 위해 국민 스스로 직업능력개발훈련을 실시할 수 있도록 훈련비 등 지원 - (국가기간‧전략산업직종 훈련) 금속, 동력, 전기, 전자 등 우리나라 중요 산업분야에서 부족하거나 새로운 수요가 예상되는 직종에 대한 직업능력개발훈련을 실시하여 기업에서","구분
실·국·과(팀)
일반직종 훈련 소관부처 직업능력정책국
인적자원개발과
실·국·과(팀)
국가기간‧전략산업
소관부처 직업능력정책국
직종 훈련
인적자원개발과
실·국·과(팀)
산업구조변화대응 등
소관부처 직업능력정책국
특화훈련
인적자원개발과
가. 지출계획 총괄표
(단위: 백만원, %)
2024년 2025년 계획 2026년 계획 증감
목명
결산 당초(A) 수정 정부안 확정(B) (B-A) (B-A)/A
내일배움카
571,022 603,198 603,198 508,979 508,979 △94,219 △15.6
드(고보)
□ 기능별(내역사업별) 계획 내역
(단위: 백만원)
2024 2025(2025.12월말)
2026
계획액 계획 계획액 계획 이월 불용
집행액 이월액 불용액 집행액 계획
(수정) 현액 당초 수정 현액 액 액
○ 기능별 분류(합계) 734,204721,374571,022 -150,352603,198603,198603,198 553,372 37 49,789 508,979
․일반직종훈련 331,239331,239296,553 - 34,686332,890332,890332,890 284,980 - 47,910 266,039
․국가기간‧전략산업
325,960313,098198,572 -114,526205,160205,160191,160 189,718 - 1,442 159,995
직종훈련
․산업구조변화대응
75,960 75,960 74,904 - 1,056 64,103 64,103 78,103 77,741 - 362 82,122
등 특화훈련
․운영비 등 1,045 1,077 992 - 85 1,045 1,045 1,045 932 37 76 823
나. 사업설명자료
1) 사업목적·내용
- (일반직종 훈련) 급격한 기술발전에 적응하고 노동시장 변화에 대응하는 사회안전망
차원에서 생애에 걸친 역량개발 향상 등을 위해 국민 스스로 직업능력개발훈련을
실시할 수 있도록 훈련비 등 지원
- (국가기간‧전략산업직종 훈련) 금속, 동력, 전기, 전자 등 우리나라 중요 산업분야에서
부족하거나 새로운 수요가 예상되는 직종에 대한 직업능력개발훈련을 실시하여 기업에서
필요로 하는 기술‧기능인력 양성‧공급
- (산업구조변화대응 등 특화훈련) 산업구조 변화 및 고용위기 등으로 어려움을 겪고
있는 재직자, 자영업자 등의 고용유지, 이‧전직을 신속히 지원하고 인력양성이 필요한 산업계의
인력수급을 활성화하기 위해 현장 수요 반영 훈련을 수시 공급하고 훈련비 등 지원
2) 사업개요
□ 사업근거 및 추진경위
① 법령상 근거 및 조항: ｢국민 평생 직업능력개발법｣ 제12조, 제15조, 제17조 및 제18조
제12조(직업능력개발훈련 지원 등) ① 국가와 지방자치단체는 국민의 고용창출, 고용촉진 및
고용안정을 위하여 직업능력개발훈련을 실시하거나 직업능력개발훈련을 받는 사람에게 비용을
지원할 수 있다. 이 경우 제3조제4항 각 호에 해당하는 사람에 대하여는 우선적으로 지원될 수
있도록 하여야 한다.
② 제1항에 따라 실시하는 직업능력개발훈련의 대상, 훈련과정의 요건, 훈련수당, 그 밖에
직업능력개발훈련에 필요한 사항은 대통령령으로 정한다.
제15조(국가기간ㆍ전략산업직종에 대한 직업능력개발훈련의 실시) ① 국가와 지방자치단체는
다음 각 호의 직종(이하 “국가기간ㆍ전략산업직종”이라 한다)에 대한 원활한 인력수급을
위하여 필요한 직업능력개발훈련을 실시할 수 있다.
1. 국가경제의 기간(基幹)이 되는 산업 중 인력이 부족한 직종
2. 정보통신산업ㆍ자동차산업 등 국가전략산업 중 인력이 부족한 직종
3. 그 밖에 산업현장의 인력수요 증대에 따라 인력을 양성할 필요가 있다고 고용노동부
장관이 고시하는 직종
② 국가기간ㆍ전략산업직종의 선정기준 및 절차, 훈련대상, 훈련과정의 요건, 훈련수당,
그 밖에 직업능력개발훈련에 필요한 사항은 대통령령으로 정한다.
제17조(근로자의 자율적 직업능력개발 지원) ① 고용노동부장관은 재직 중인 근로자의 자율적인
직업능력개발을 지원하기 위하여 근로자에게 다음 각 호의 비용을 지원하거나 융자할 수 있다.
1. 제19조에 따라 고용노동부장관의 인정을 받은 직업능력개발훈련과정의 수강 비용
2. ｢고등교육법｣에 따른 전문대학 또는 이와 같은 수준 이상의 학력이 인정되는 교육과정의
수업료 및 그 밖의 납부금
3. 그 밖에 제1호 및 제2호의 비용에 준하는 비용으로서 대통령령으로 정하는 비용
② 고용노동부장관은 제1항에 따른 지원 또는 융자를 하는 경우에 다음 각 호의 근로자를
우대할 수 있다.
1. 대통령령으로 정하는 기준에 해당하는 기업에 고용된 근로자
2. 제3조제4항제9호 또는 제10호에 따른 근로자 중 대통령령으로 정하는 근로자
③ 제1항과 제2항에 따른 지원 또는 융자의 요건ㆍ내용ㆍ절차ㆍ수준 및 우대 지원에 필요한
사항은 대통령령으로 정한다.
제18조(직업능력개발계좌의 발급 및 운영) ① 고용노동부장관은 제12조 및 제17조에 따라
국민의 자율적 직업능력개발을 지원하기 위하여 직업능력개발훈련 비용을 지원하는 계좌(이하
“직업능력개발계좌”라 한다)를 발급하고 이들의 직업능력개발에 관한 이력을 종합적으로
관리하는 제도를 운영할 수 있다.
② 고용노동부장관은 직업능력개발계좌를 발급받은 국민이 직업능력개발계좌를 활용하여 필요한
직업능력개발훈련을 받을 수 있도록 다음 각 호의 사항을 실시하여야 한다.
1. 직업능력개발계좌에서 훈련 비용이 지급되는 직업능력개발훈련과정(이하 “계좌적합
훈련과정”이라 한다)에 대한 정보 제공
2. 직업능력개발 진단 및 상담
③ 고용노동부장관은 직업능력개발계좌를 발급받은 국민에게 직업ㆍ진로상담 및 경력개발을
지원할 수 있다.
④ 제1항 및 제2항에 따른 직업능력개발계좌의 발급, 계좌적합훈련과정의 정보 제공,
직업능력개발 진단 및 상담, 그 밖에 직업능력개발계좌제도의 운영에 필요한 사항은
대통령령으로 정한다.
② 추진경위
<일반직종 훈련>
- ‘98년 실업자의 (재)취업을 촉진하고자 취‧창업훈련 및 고학력 미취업자 대상 취업
유명분야 훈련 실시
- ’08.9월 공급자 중심의 기존 직업훈련체계를 수요자 중심으로 전환하고자 직업능력
개발계좌제 도입
- ‘11년 계좌제 훈련 전면 실시("
감사원_개인정보위원회_경찰청_고용노동부_ai.pdf,19,감사원,가. (23) 내일배움카드(일반)(1131-300),일반,일반회계,계속,기타,23,1131,80,1100,-31,-2.74,,"가. (23) 내일배움카드(일반)(1131-300)
□ 사업 코드 정보
구분 회계 소관 실국(기관) 계정 분야 부문
코드 080 08D
일반회계 고용노동부 직업능력정책국 -
명칭 사회복지 고용
구분 프로그램 단위사업 세부사업
코드 1100 1131 300
명칭 직업능력개발 실업자등능력개발지원 내일배움카드(일반)
□ 사업 성격
예비타당성 총사업비 총액계상 사업소관 변경정보
신규 계속 완료
실시여부 관리대상 예산사업 2025예산 시 소관
○
□ 사업 지원 형태 및 지원율
직접 출자 출연 보조 융자 국고보조율(%) 융자율 (%)
O
□ 사업 소관부처 및 시행주체"
감사원_개인정보위원회_경찰청_고용노동부_ai.pdf,20,감사원,(100) 노동위원회정보화운영(정보화)(7039-502),정보화,일반회계,계속,공공행정/전자정부,100,7039,80,7000,-39,-0.55,,"(100) 노동위원회정보화운영(정보화)(7039-502)
□ 사업 코드 정보
구분 회계 소관 실국(기관) 계정 분야 부문
코드 080 08F
일반회계 고용노동부 노동위원회
명칭 사회복지 고용노동일반
구분 프로그램 단위사업 세부사업
코드 7000 7039 502
명칭 고용노동행정지원 노동위원회운영 노동위원회정보화운영(정보화)
□ 사업 성격
예비타당성 총사업비 총액계상 사업소관 변경정보
신규 계속 완료
실시여부 관리대상 예산사업 2025예산 시 소관
○
□ 사업 지원 형태 및 지원율
직접 출자 출연 보조 융자 국고보조율(%) 융자율 (%)
○
□ 사업 소관부처 및 시행주체"
